** wall2.bmp
(0.8, 1.0, 4.0)(1.6, 0.0, 3.5)(1.6, 1.0, 3.5)(0.8, 0.0, 4.0)(3.0, 3.0)
(2.0, 1.0, -1.0)(1.0, 0.0, -1.0)(1.0, 1.0, -1.0)(2.0, 0.0, -1.0)(3.0, 3.0)
(-1.0, 1.0, 0.0)(0.0, 0.0, 0.0)(0.0, 1.0, 0.0)(-1.0, 0.0, 0.0)(3.0, 3.0)
(5.0, 1.0, 0.0)(5.0, 0.0, -1.0)(5.0, 1.0, -1.0)(5.0, 0.0, 0.0)(3.0, 3.0)
(-1.0, 1.0, -1.0)(-1.0, 0.0, 0.0)(-1.0, 1.0, 0.0)(-1.0, 0.0, -1.0)(3.0, 3.0)
(4.0, 1.0, -2.0)(3.0, 0.0, -2.0)(3.0, 1.0, -2.0)(4.0, 0.0, -2.0)(3.0, 3.0)
(3.0, 1.0, -1.0)(2.0, 0.0, -1.0)(2.0, 1.0, -1.0)(3.0, 0.0, -1.0)(3.0, 3.0)
(5.0, 1.0, 1.0)(5.0, 0.0, 0.0)(5.0, 1.0, 0.0)(5.0, 0.0, 1.0)(3.0, 3.0)
(4.0, 1.0, 1.0)(5.0, 0.0, 1.0)(5.0, 1.0, 1.0)(4.0, 0.0, 1.0)(3.0, 3.0)
(-0.1, 1.0, -2.6)(-0.7, 0.0, -3.5)(-0.7, 1.0, -3.5)(-0.1, 0.0, -2.6)(3.0, 3.0)
(0.4, 1.0, -1.8)(-0.1, 0.0, -2.6)(-0.1, 1.0, -2.6)(0.4, 0.0, -1.8)(3.0, 3.0)
(0.0, 1.0, 0.0)(1.0, 0.0, 0.0)(1.0, 1.0, 0.0)(0.0, 0.0, 0.0)(3.0, 3.0)
(-1.0, 1.0, -2.0)(-1.0, 0.0, -1.0)(-1.0, 1.0, -1.0)(-1.0, 0.0, -2.0)(3.0, 3.0)
(5.0, 1.0, -1.0)(5.0, 0.0, -2.0)(5.0, 1.0, -2.0)(5.0, 0.0, -1.0)(3.0, 3.0)
(5.0, 1.0, -2.0)(4.0, 0.0, -2.0)(4.0, 1.0, -2.0)(5.0, 0.0, -2.0)(3.0, 3.0)
(1.0, 1.0, -1.0)(0.4, 0.0, -1.8)(0.4, 1.0, -1.8)(1.0, 0.0, -1.0)(3.0, 3.0)
(2.0, 1.0, 0.0)(3.0, 0.0, 0.0)(3.0, 1.0, 0.0)(2.0, 0.0, 0.0)(3.0, 3.0)
(3.0, 1.0, 0.0)(3.0, 0.0, 1.0)(3.0, 1.0, 1.0)(3.0, 0.0, 0.0)(3.0, 3.0)
(-1.0, 1.0, -3.0)(-1.0, 0.0, -2.0)(-1.0, 1.0, -2.0)(-1.0, 0.0, -3.0)(3.0, 3.0)
(3.0, 1.0, 1.0)(4.0, 0.0, 1.0)(4.0, 1.0, 1.0)(3.0, 0.0, 1.0)(3.0, 3.0)
(0.0, 1.0, -3.0)(-1.0, 0.0, -3.0)(-1.0, 1.0, -3.0)(0.0, 0.0, -3.0)(3.0, 3.0)
(3.0, 1.0, -2.0)(3.0, 0.0, -1.0)(3.0, 1.0, -1.0)(3.0, 0.0, -2.0)(3.0, 3.0)
(1.0, 1.0, 0.0)(2.0, 0.0, 0.0)(2.0, 1.0, 0.0)(1.0, 0.0, 0.0)(3.0, 3.0)
** ceil1.bmp
(1.0, 1.0, -3.0)(2.0, 1.0, -2.0)(2.0, 1.0, -3.0)(1.0, 1.0, -2.0)(1.0, 1.0)
(5.0, 1.0, 1.0)(6.0, 1.0, 2.0)(6.0, 1.0, 1.0)(5.0, 1.0, 2.0)(1.0, 1.0)
(5.0, 1.0, -2.0)(6.0, 1.0, -1.0)(6.0, 1.0, -2.0)(5.0, 1.0, -1.0)(1.0, 1.0)
(4.0, 1.0, -1.0)(5.0, 1.0, 0.0)(5.0, 1.0, -1.0)(4.0, 1.0, 0.0)(1.0, 1.0)
(3.0, 1.0, -2.0)(4.0, 1.0, -1.0)(4.0, 1.0, -2.0)(3.0, 1.0, -1.0)(1.0, 1.0)
(3.0, 1.0, 1.0)(4.0, 1.0, 2.0)(4.0, 1.0, 1.0)(3.0, 1.0, 2.0)(1.0, 1.0)
(2.0, 1.0, -1.0)(3.0, 1.0, 0.0)(3.0, 1.0, -1.0)(2.0, 1.0, 0.0)(1.0, 1.0)
(2.0, 1.0, -2.0)(3.0, 1.0, -1.0)(3.0, 1.0, -2.0)(2.0, 1.0, -1.0)(1.0, 1.0)
(5.0, 1.0, -3.0)(6.0, 1.0, -2.0)(6.0, 1.0, -3.0)(5.0, 1.0, -2.0)(1.0, 1.0)
(1.0, 1.0, -1.0)(2.0, 1.0, 0.0)(2.0, 1.0, -1.0)(1.0, 1.0, 0.0)(1.0, 1.0)
(6.0, 1.0, 0.0)(7.0, 1.0, 1.0)(7.0, 1.0, 0.0)(6.0, 1.0, 1.0)(1.0, 1.0)
(6.0, 1.0, -2.0)(7.0, 1.0, -1.0)(7.0, 1.0, -2.0)(6.0, 1.0, -1.0)(1.0, 1.0)
(3.0, 1.0, 0.0)(4.0, 1.0, 1.0)(4.0, 1.0, 0.0)(3.0, 1.0, 1.0)(1.0, 1.0)
(5.0, 1.0, 2.0)(6.0, 1.0, 3.0)(6.0, 1.0, 2.0)(5.0, 1.0, 3.0)(1.0, 1.0)
(2.0, 1.0, -3.0)(3.0, 1.0, -2.0)(3.0, 1.0, -3.0)(2.0, 1.0, -2.0)(1.0, 1.0)
(4.0, 1.0, 0.0)(5.0, 1.0, 1.0)(5.0, 1.0, 0.0)(4.0, 1.0, 1.0)(1.0, 1.0)
(0.0, 1.0, -3.0)(1.0, 1.0, -2.0)(1.0, 1.0, -3.0)(0.0, 1.0, -2.0)(1.0, 1.0)
(6.0, 1.0, 2.0)(7.0, 1.0, 3.0)(7.0, 1.0, 2.0)(6.0, 1.0, 3.0)(1.0, 1.0)
(6.0, 1.0, -3.0)(7.0, 1.0, -2.0)(7.0, 1.0, -3.0)(6.0, 1.0, -2.0)(1.0, 1.0)
(3.0, 1.0, 2.0)(4.0, 1.0, 3.0)(4.0, 1.0, 2.0)(3.0, 1.0, 3.0)(1.0, 1.0)
(0.0, 1.0, -2.0)(1.0, 1.0, -1.0)(1.0, 1.0, -2.0)(0.0, 1.0, -1.0)(1.0, 1.0)
(-1.0, 1.0, -1.0)(0.0, 1.0, 0.0)(0.0, 1.0, -1.0)(-1.0, 1.0, 0.0)(1.0, 1.0)
(1.0, 1.0, -2.0)(2.0, 1.0, -1.0)(2.0, 1.0, -2.0)(1.0, 1.0, -1.0)(1.0, 1.0)
(3.0, 1.0, -1.0)(4.0, 1.0, 0.0)(4.0, 1.0, -1.0)(3.0, 1.0, 0.0)(1.0, 1.0)
(-1.0, 1.0, -3.0)(0.0, 1.0, -2.0)(0.0, 1.0, -3.0)(-1.0, 1.0, -2.0)(1.0, 1.0)
(4.0, 1.0, 2.0)(5.0, 1.0, 3.0)(5.0, 1.0, 2.0)(4.0, 1.0, 3.0)(1.0, 1.0)
(4.0, 1.0, -2.0)(5.0, 1.0, -1.0)(5.0, 1.0, -2.0)(4.0, 1.0, -1.0)(1.0, 1.0)
(6.0, 1.0, -1.0)(7.0, 1.0, 0.0)(7.0, 1.0, -1.0)(6.0, 1.0, 0.0)(1.0, 1.0)
(5.0, 1.0, -1.0)(6.0, 1.0, 0.0)(6.0, 1.0, -1.0)(5.0, 1.0, 0.0)(1.0, 1.0)
(4.0, 1.0, 1.0)(5.0, 1.0, 2.0)(5.0, 1.0, 1.0)(4.0, 1.0, 2.0)(1.0, 1.0)
(5.0, 1.0, 0.0)(6.0, 1.0, 1.0)(6.0, 1.0, 0.0)(5.0, 1.0, 1.0)(1.0, 1.0)
(4.0, 1.0, -3.0)(5.0, 1.0, -2.0)(5.0, 1.0, -3.0)(4.0, 1.0, -2.0)(1.0, 1.0)
(3.0, 1.0, -3.0)(4.0, 1.0, -2.0)(4.0, 1.0, -3.0)(3.0, 1.0, -2.0)(1.0, 1.0)
(0.0, 1.0, -1.0)(1.0, 1.0, 0.0)(1.0, 1.0, -1.0)(0.0, 1.0, 0.0)(1.0, 1.0)
(-1.0, 1.0, -2.0)(0.0, 1.0, -1.0)(0.0, 1.0, -2.0)(-1.0, 1.0, -1.0)(1.0, 1.0)
(6.0, 1.0, 1.0)(7.0, 1.0, 2.0)(7.0, 1.0, 1.0)(6.0, 1.0, 2.0)(1.0, 1.0)
** floor2.bmp
(-1.0, 0.0, 3.0)(0.0, 0.0, 2.0)(0.0, 0.0, 3.0)(-1.0, 0.0, 2.0)(2.0, 2.0)
(0.0, 0.0, -2.0)(1.0, 0.0, -3.0)(1.0, 0.0, -2.0)(0.0, 0.0, -3.0)(2.0, 2.0)
(0.0, 0.0, -1.0)(1.0, 0.0, -2.0)(1.0, 0.0, -1.0)(0.0, 0.0, -2.0)(2.0, 2.0)
(-1.0, 0.0, -1.0)(0.0, 0.0, -2.0)(0.0, 0.0, -1.0)(-1.0, 0.0, -2.0)(2.0, 2.0)
(1.0, 0.0, 0.0)(2.0, 0.0, -1.0)(2.0, 0.0, 0.0)(1.0, 0.0, -1.0)(2.0, 2.0)
(4.0, 0.0, 1.0)(5.0, 0.0, 0.0)(5.0, 0.0, 1.0)(4.0, 0.0, 0.0)(2.0, 2.0)
(5.0, 0.0, 3.0)(6.0, 0.0, 2.0)(6.0, 0.0, 3.0)(5.0, 0.0, 2.0)(2.0, 2.0)
(0.0, 0.0, 0.0)(1.0, 0.0, -1.0)(1.0, 0.0, 0.0)(0.0, 0.0, -1.0)(2.0, 2.0)
(-1.0, 0.0, -2.0)(0.0, 0.0, -3.0)(0.0, 0.0, -2.0)(-1.0, 0.0, -3.0)(2.0, 2.0)
(2.0, 0.0, -1.0)(3.0, 0.0, -2.0)(3.0, 0.0, -1.0)(2.0, 0.0, -2.0)(2.0, 2.0)
